YEAR,HWTSUPP,ASECFLAG,HFLAG,HHBRACKET99,CPI99,MONTH,WTSUPP,NRESP
1968,83643.54,NA,NA,121000,4.988,3,85219.37,66
1968,62936.51,NA,NA,122000,4.988,3,64849.54,50
1968,84539.24,NA,NA,123000,4.988,3,85409.99,66
1968,90751.29,NA,NA,124000,4.988,3,92717.67,70
1968,370741.31,NA,NA,125000,4.988,3,369262.95,288
1968,120373.27,NA,NA,126000,4.988,3,121412.16,94
1968,126869.36,NA,NA,127000,4.988,3,127229.43,95
1968,130873.27,NA,NA,128000,4.988,3,129969.14,103
1968,105367.59,NA,NA,129000,4.988,3,106491.01,81
1968,109031.9,NA,NA,130000,4.988,3,104675.89,83
1968,100467.02,NA,NA,131000,4.988,3,97628.26,69
1968,59061.96,NA,NA,132000,4.988,3,61125.62,45
1968,60513.18,NA,NA,133000,4.988,3,61530.97,47
1968,56296.7,NA,NA,134000,4.988,3,56557.04,45
1968,86505.95,NA,NA,135000,4.988,3,87753.92,66
1968,72692.39,NA,NA,136000,4.988,3,74777.98,58
1968,57531.99,NA,NA,137000,4.988,3,59971.5,44
1968,80615.02,NA,NA,138000,4.988,3,82648.86,63
1968,25387.52,NA,NA,139000,4.988,3,25779.53,19
1968,73668.63,NA,NA,140000,4.988,3,77548.9,59
1968,33025.23,NA,NA,141000,4.988,3,33375.09,27
1968,14013.8,NA,NA,142000,4.988,3,15349.56,11
1968,28981.88,NA,NA,143000,4.988,3,29096.31,23
1968,31860.03,NA,NA,144000,4.988,3,34140.95,26
1968,75939.6,NA,NA,145000,4.988,3,77055.94,60
1968,48036.59,NA,NA,146000,4.988,3,48972.58,38
1968,15511.31,NA,NA,147000,4.988,3,15698.73,12
1968,41527.16,NA,NA,148000,4.988,3,43760.35,32
1968,30974.74,NA,NA,149000,4.988,3,30998.64,24
1968,117198.17,NA,NA,150000,4.988,3,117652.31,86
1968,36193.57,NA,NA,151000,4.988,3,36249.85,29
1968,41094.21,NA,NA,152000,4.988,3,41043.25,32
1968,11525.34,NA,NA,153000,4.988,3,12058.44,9
1968,36632.1,NA,NA,154000,4.988,3,36930.21,30
1968,51871.7,NA,NA,155000,4.988,3,51643.21,39
1968,63003.1,NA,NA,156000,4.988,3,63276.93,45
